"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","HTTP","",""
"pre_128cipher","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","",""
"SSLv3","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","",""
"TLS1","conseiller-numerique.gouv.fr/104.21.71.120","443","LOW","offered (deprecated)","",""
"TLS1_1","conseiller-numerique.gouv.fr/104.21.71.120","443","LOW","offered (deprecated)","",""
"TLS1_2","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","offered","",""
"TLS1_3","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","offered with final","",""
"ALPN_HTTP2","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","h2","",""
"ALPN","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","http/1.1","",""
"cipherlist_NULL","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","conseiller-numerique.gouv.fr/104.21.71.120","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","offered","",""
"cipherlist_STRONG_FS","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","offered","",""
"cipher_order-tls1","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","server","",""
"cipherorder_TLSv1","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","server","",""
"cipherorder_TLSv1_1","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","server","",""
"cipherorder_TLSv1_2","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","server -- TLS 1.3 client determined","",""
"FS","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","offered","",""
"FS_ciphers","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","prime256v1","",""
"TLS_extensions","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","yes","",""
"sessionresumption_ticket","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","supported","",""
"sessionresumption_ID","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","not supported","",""
"TLS_timestamp","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","0002/Brotli","",""
"clientAuth","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","none","",""
"cert_numbers","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","C247A980E25AF0780D58E20A83C330B2","",""
"cert_serialNumberLen <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","31E68E7500725F1C1A95DD5D3AD35479E28F362F","",""
"cert_fingerprintSHA256 <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","6BE18D53E40EB7F3C09A386C5AFC6ECC408C1726EB2ED27B9ADF1279FA08D6AE","",""
"cert <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFZTCCBE2gAwIBAgIRAMJHqYDiWvB4DVjiCoPDMLIwDQYJKoZIhvcNAQELBQAwOzELMAkGA1UEBhMCVVMxHjAcBgNVBAoTFUdvb2dsZSBUcnVzdCBTZXJ2aWNlczEMMAoGA1UEAxMDV1IxMB4XDTI0MTAzMTE0MDgyOVoXDTI1MDEyOTE1MDgyM1owJzElMCMGA1UEAxMcY29uc2VpbGxlci1udW1lcmlxdWUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAO0i9eVJ1Li5rwuWV036yoErJEuR4W/8K71lG8zVNfyA/R6wG1ELyYrufCKvnEnWgwUnLJ+WPc6AESmloNT0tmsnLJ0IMRqs5+DA45h9PHnaLup5b5vfV1IZV53UyD5q3ZciSN4qdLv3X981wdtlzfCsphkTgiDiTYg9Krfjxubp8hXZbmyKAg2N82hT1jUzj1nI2nsVCdXk1nj8Bc4730dD+qZP9kHssVJE7LTgn8D1YZKi/eFlMg/h5fBsQjBLERsfXrO2SvVXHfzzGE6YIl23arSTWUh9W+ukMwfca97Wqex1tuoa2xKCRMqEykkTmq9cDqzPt1CmLkPa5gMBez8CAwEAAaOCAnYwggJyMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTitMUJu4MA/pwF8Hpnoaqh/jMDfzAfBgNVHSMEGDAWgBRmaUnU3iqckQPPiQ4kuA4wA26ILjBeBggrBgEFBQcBAQRSMFAwJwYIKwYBBQUHMAGGG2h0dHA6Ly9vLnBraS5nb29nL3Mvd3IxL3drYzAlBggrBgEFBQcwAoYZaHR0cDovL2kucGtpLmdvb2cvd3IxLmNydDBHBgNVHREEQDA+ghxjb25zZWlsbGVyLW51bWVyaXF1ZS5nb3V2LmZygh4qLmNvbnNlaWxsZXItbnVtZXJpcXVlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwNgYDVR0fBC8wLTAroCmgJ4YlaHR0cDovL2MucGtpLmdvb2cvd3IxL1NYZG9rYjRyVFR3LmNybDCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB2AM8RVu7VLnyv84db2Wkum+kacWdKsBfsrAHSW3fOzDsIAAABkuMe9pgAAAQDAEcwRQIgP+eDIzZZ+O7Juw12dqN4otF1hwtnYYPZNc2oEnh2PsICIQDXWjna/+0wmIH6ZPcqIlyYtR4qvD6r+EqLeefuriv96wB3AObSMWNAd4zBEEEG13G5zsHSQPaWhIb7uocyHf0eN45QAAABkuMe+mIAAAQDAEgwRgIhAMf3CLKqfPdY/pE8+iuO7WqlZPbbLkKIIhoyFz3/JzIEAiEAl1ydTa7K9RPmFImzjDk+ZdmpYgtP10iZJTHZY1pQVeMwDQYJKoZIhvcNAQELBQADggEBAHXgc8qBJnu4HUTizubBKaUdcA2jOpHaQvWg0JvXc/M0NH14CD1sYNI9KaVHN0y2xvazpa8tExx1B/4Z1GXPakRofgVtjnv7gBcCss3FkFb0Kg1WO0GsLbUO06+fdcFQ9+7hNDIAYFEbwgeXQ2V1RSbueHLVbH8f+3Dfh74s9kf1nzaxZunTSCL82q9VEIXtgmiKqTO8bPI2LeWD45dkahVcXeKy6Z3r31gGFZ+H5TMJ0f9ICs2whgLBWrwYfYgeYwaJimSznniVZA8v7OAR8PDyCamtWxI0kUS9erc+b9PjON07WaiBhBBI/LxD8tuIIEQ8JsoSBV4cKDQ/MgJFPTE=\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","conseiller-numerique.gouv.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","conseiller-numerique.gouv.fr *.conseiller-numerique.gouv.fr","",""
"cert_trust <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","76 >= 60 days","",""
"cert_notBefore <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","INFO","2024-10-31 14:08","",""
"cert_notAfter <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","2025-01-29 15:08","",""
"cert_extlifeSpan <hostCert#1>","conseiller-numerique.gouv.fr/104.21.71.120","443","OK","certificate has no extended life time according to browser forum","",""
