"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","creuse.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","creuse.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","creuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","creuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","creuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","creuse.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","creuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","creuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","creuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","creuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","creuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","creuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","creuse.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","creuse.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","creuse.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","creuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","creuse.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","creuse.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","creuse.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","creuse.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","creuse.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","creuse.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","creuse.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","creuse.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","creuse.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","creuse.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","creuse.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","creuse.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","creuse.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","creuse.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","creuse.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","creuse.gouv.fr/77.159.252.140","443","INFO","F0FE59EA3E1FB54ED64A298E92C8F319","",""
"cert_serialNumberLen","creuse.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","creuse.gouv.fr/77.159.252.140","443","INFO","FAD98AE868B17BCE61CC2520A34454D9A2B1F0FF","",""
"cert_fingerprintSHA256","creuse.gouv.fr/77.159.252.140","443","INFO","2034057254B3B91658E7EAAC664DBB816411025697EA6D3839CE9519B49213A6","",""
