"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","HTTP","",""
"pre_128cipher","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","",""
"SSLv3","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","",""
"TLS1","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","not offered","",""
"TLS1_1","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","not offered","",""
"TLS1_2","cybermalveillance.gouv.fr/87.252.1.29","443","OK","offered","",""
"TLS1_3","cybermalveillance.gouv.fr/87.252.1.29","443","OK","offered with final","",""
"ALPN_HTTP2","cybermalveillance.gouv.fr/87.252.1.29","443","OK","h2","",""
"ALPN","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","http/1.1","",""
"cipherlist_NULL","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cybermalveillance.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cybermalveillance.gouv.fr/87.252.1.29","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cybermalveillance.gouv.fr/87.252.1.29","443","OK","offered","",""
"cipherlist_STRONG_FS","cybermalveillance.gouv.fr/87.252.1.29","443","OK","offered","",""
"cipher_order-tls1_2","cybermalveillance.gouv.fr/87.252.1.29","443","OK","server","",""
"cipherorder_TLSv1_2","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cybermalveillance.gouv.fr/87.252.1.29","443","OK","server","",""
"FS","cybermalveillance.gouv.fr/87.252.1.29","443","OK","offered","",""
"FS_ciphers","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","cybermalveillance.gouv.fr/87.252.1.29","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","yes","",""
"sessionresumption_ticket","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","supported","",""
"sessionresumption_ID","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","not supported","",""
"TLS_timestamp","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","random","",""
"certificate_compression","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","none","",""
"clientAuth","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","none","",""
"cert_numbers","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","1","",""
"cert_signatureAlgorithm","cybermalveillance.gouv.fr/87.252.1.29","443","OK","SHA256 with RSA","",""
"cert_keySize","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","D83850B8A933116C9455A180389782","",""
"cert_serialNumberLen","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","15","",""
"cert_fingerprintSHA1","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","30B967B80D459D17AB7517E94E805C41D3BE46F4","",""
"cert_fingerprintSHA256","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","3CD09B950ED009BE2EFEE21A9B8F3F3922E4C4A5418C297DB9EACBB2A0738DC3","",""
"cert","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIXTCCBkWgAwIBAgIQANg4ULipMxFslFWhgDiXgjANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQwMjI1MjMwMDAwWhcNMjUwMjI0MjI1OTU5WjBqMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxEjAQBgNVBAoMCUdJUCBBQ1lNQTEiMCAGA1UEAwwZY3liZXJtYWx2ZWlsbGFuY2UuZ291di5mcjETMBEGA1UEBRMKUzMwMTU0MDMxODCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALJSA3LaA3t+fQAK3utZjVaYE6u7f+DPPkDNWJPB5OK4K5IOvbp3r1fCwXyAT1sHEULShU+eFrCCh08eDHiPGgvjaOEK8i9tdhYYZaoKPehthCbbVKSyEMO3P3KAENbKjewEEw6+Fys3Ip3G1Mo3RzKpqc2+S9FWwRSbw8mf3bb34hoKi/nHeBg/ciXcJcwOsk6SznMI2Xg2a0aeFr92oc1pqZrQ7XJpL1BNoIltusPtD7xdkar3XIP5YbGscOZyu24nUHW/x/AiI6IF5YrBklCeAzY7XTrIQelBAJpDNwJrAaOUMlIxh35BOVjuYShlWQ+XqNnBnEZGcHDC+soXwKsCAwEAAaOCA+owggPmMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDBDBgNVHREEPDA6ghljeWJlcm1hbHZlaWxsYW5jZS5nb3V2LmZygh13d3cuY3liZXJtYWx2ZWlsbGFuY2UuZ291di5mcjAdBgNVHQ4EFgQUq/gzfcDcUEcDeVgJ8Zk6qzcHu5IwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB1AE51oydcmhDDOFts1N8/Uusd8OCOG41pwLH6ZLFimjnfAAABjeRoxloAAAQDAEYwRAIgCK/wGc7TGpJ6LfQ/mNipCyh1MKSxIPAs09xKNTSyReYCIE6ps+v9HKoMtgMC8XRttOry1h5Gi0v652ScXj0e1GEgAHYAzxFW7tUufK/zh1vZaS6b6RpxZ0qwF+ysAdJbd87MOwgAAAGN5GjG0gAABAMARzBFAiEAlOGOYlp0La1zDSHcRzbnb131uyDNWm9Y9umbXla4DowCIAjNEJN4uYX51uEIAb8tzHUqYTIK4bGUVV3uCGXWfxj8AHUA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGN5GjJNgAABAMARjBEAiB2yNhC6paTFnBNm7U5Z4h4S637oc9HvcbdTxVx6LCrwQIgPLDVYprvyehI5ImiibFHa2DzByLhzkvReSoovaFy91wwDQYJKoZIhvcNAQELBQADggIBAJel0Y3q/X1yyj8+Q/wtfLaXwy/KatSmioTp6jqhZfij2NimQnhjAciW24WYX2Oz/Z1l94jqJ2rS1s0h2l53bbrH/Xkha0YBPp3yJr3L5rLHIKoUrSYAXZ4ZXafBXQsW/es3sH/WWJU+79MgNSQY+au8Mj/Od/PRe59fjuy5FJDUkc+qVhNwVDivLZk9IegHrfPBITSDUqjQOaoKTVYuMW8ejtj71EP2//ygi1laXIgCoK/fmORZIicndeaYFBgHEIc8FofRqzUYxqzQBwzsqfuVLxm1wDNT40vMQDTvfbhOsy6se2QTGEuV0Dn0xkZeh5XbO0FX9hOn7MRZEEvcpM+TM23U4wV/dyu8kkPEThhTwkkQ9hHcuBmiD91ypmWCv3nBFQSFseHLpwpRbRXhzFjlu0nFCT1xWm71FwGswJ4YtBpGvcHQtTythidMrrpDzWnRPeMUl3iXDcwr4xAoavQPa9c94ji26Uu6CFCY2z20Vtc7z4GNsIDmk7mF38NWQOtpBpm5NsqFDZCigqdVuexPdNzbqALBT88JZjMPCvkojqIQxti1M8obkyv4s5WycDjozpXhDjhdGvrJiMWhphVORXoajWjiiMQXdkYUqVccmZ/qW98GsRMmdhZct3gAMLtB3KayZura6ibtgETTCzPBjOT8PJi/QQwMNIevLH0u\n-----END CERTIFICATE-----","",""
"cert_commonName","cybermalveillance.gouv.fr/87.252.1.29","443","OK","cybermalveillance.gouv.fr","",""
"cert_commonName_wo_SNI","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","Plesk","",""
"cert_subjectAltName","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","cybermalveillance.gouv.fr www.cybermalveillance.gouv.fr","",""
"cert_trust","cybermalveillance.gouv.fr/87.252.1.29","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","cybermalveillance.gouv.fr/87.252.1.29","443","OK","passed.","",""
"cert_certificatePolicies_EV","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","no","",""
"cert_expirationStatus","cybermalveillance.gouv.fr/87.252.1.29","443","OK","352 >= 60 days","",""
"cert_notBefore","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","2024-02-25 23:00","",""
"cert_notAfter","cybermalveillance.gouv.fr/87.252.1.29","443","OK","2025-02-24 22:59","",""
"cert_extlifeSpan","cybermalveillance.gouv.fr/87.252.1.29","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","not present","",""
"cert_crlDistributionPoints","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","cybermalveillance.gouv.fr/87.252.1.29","443","LOW","not offered","",""
"cert_mustStapleExtension","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","--","",""
"DNS_CAArecord","cybermalveillance.gouv.fr/87.252.1.29","443","LOW","--","",""
"certificate_transparency","cybermalveillance.gouv.fr/87.252.1.29","443","OK","yes (certificate extension)","",""
"certs_countServer","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","2","",""
"certs_list_ordering_problem","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","no","",""
"cert_caIssuers","cybermalveillance.gouv.fr/87.252.1.29","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
