"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","HTTP","",""
"pre_128cipher","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","",""
"SSLv3","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","",""
"TLS1","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","",""
"TLS1_1","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","",""
"TLS1_2","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","offered","",""
"TLS1_3","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","offered with final","",""
"ALPN","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","",""
"cipherlist_NULL","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","offered","",""
"cipher_order-tls1_2","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","server","",""
"cipherorder_TLSv1_2","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","server","",""
"FS","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","offered","",""
"FS_ciphers","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","yes","",""
"sessionresumption_ticket","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","not supported","",""
"sessionresumption_ID","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","supported","",""
"TLS_timestamp","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","random","",""
"certificate_compression","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","none","",""
"clientAuth","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","none","",""
"cert_numbers","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","1","",""
"cert_signatureAlgorithm","dila.premier-ministre.gouv.fr/160.92.168.129","443","OK","SHA256 with RSA","",""
"cert_keySize","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","320E128065A6FDDF799DF76999FD42D3","",""
"cert_serialNumberLen","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","16","",""
"cert_fingerprintSHA1","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","B56750FF746FFCB6E9327C6E2ECBE58F48B7D60D","",""
"cert_fingerprintSHA256","dila.premier-ministre.gouv.fr/160.92.168.129","443","INFO","D7193E5883D97280BFCF130276C79B600D6B1C12D75073256853F29BCB3C2FE3","",""
