"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dreets.gouv.fr/185.194.83.84","443","INFO","HTTP","",""
"pre_128cipher","dreets.gouv.fr/185.194.83.84","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dreets.gouv.fr/185.194.83.84","443","OK","not offered","",""
"SSLv3","dreets.gouv.fr/185.194.83.84","443","OK","not offered","",""
"TLS1","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","",""
"TLS1_1","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","",""
"TLS1_2","dreets.gouv.fr/185.194.83.84","443","OK","offered","",""
"TLS1_3","dreets.gouv.fr/185.194.83.84","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","",""
"cipherlist_NULL","dreets.gouv.fr/185.194.83.84","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dreets.gouv.fr/185.194.83.84","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dreets.gouv.fr/185.194.83.84","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dreets.gouv.fr/185.194.83.84","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dreets.gouv.fr/185.194.83.84","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dreets.gouv.fr/185.194.83.84","443","OK","offered","",""
"cipher_order-tls1_2","dreets.gouv.fr/185.194.83.84","443","OK","server","",""
"cipherorder_TLSv1_2","dreets.gouv.fr/185.194.83.84","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dreets.gouv.fr/185.194.83.84","443","OK","server","",""
"FS","dreets.gouv.fr/185.194.83.84","443","OK","offered","",""
"FS_ciphers","dreets.gouv.fr/185.194.83.84","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dreets.gouv.fr/185.194.83.84","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dreets.gouv.fr/185.194.83.84","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","dreets.gouv.fr/185.194.83.84","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dreets.gouv.fr/185.194.83.84","443","INFO","yes","",""
"sessionresumption_ticket","dreets.gouv.fr/185.194.83.84","443","INFO","not supported","",""
"sessionresumption_ID","dreets.gouv.fr/185.194.83.84","443","INFO","supported","",""
"TLS_timestamp","dreets.gouv.fr/185.194.83.84","443","INFO","random","",""
"cert_compression","dreets.gouv.fr/185.194.83.84","443","INFO","N/A","",""
"clientAuth","dreets.gouv.fr/185.194.83.84","443","INFO","none","",""
"cert_numbers","dreets.gouv.fr/185.194.83.84","443","INFO","1","",""
"cert_signatureAlgorithm","dreets.gouv.fr/185.194.83.84","443","OK","SHA256 with RSA","",""
"cert_keySize","dreets.gouv.fr/185.194.83.84","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dreets.gouv.fr/185.194.83.84","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dreets.gouv.fr/185.194.83.84","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dreets.gouv.fr/185.194.83.84","443","INFO","507698DCB1A358DA53B1C984BE584228","",""
"cert_serialNumberLen","dreets.gouv.fr/185.194.83.84","443","INFO","16","",""
"cert_fingerprintSHA1","dreets.gouv.fr/185.194.83.84","443","INFO","F799EE921849BD72880004266C1C39A5E422D97B","",""
"cert_fingerprintSHA256","dreets.gouv.fr/185.194.83.84","443","INFO","A4BEFAB819A3F37FE803AEB4483A935D99CCD3D394DFFBB1D041B43D7A730CFC","",""
