"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","HTTP","",""
"pre_128cipher","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","",""
"SSLv3","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","",""
"TLS1","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered","",""
"TLS1_1","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered","",""
"TLS1_2","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","offered","",""
"TLS1_3","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","http/1.1","",""
"cipherlist_NULL","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","not offered","",""
"cipherlist_STRONG_FS","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","offered","",""
"cipher_order-tls1_2","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","edition-prod-police-nationalev2.minint.ate.info/37.235.90.45","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
